amenity,False,True,true_percentage
bicycle_rental,0.0,36.0,1.0
car_sharing,0.0,36.0,1.0
bicycle_parking,6.0,30.0,0.8333333333333334
bar,8.0,28.0,0.7777777777777778
pub,11.0,25.0,0.6944444444444444
toilets,20.0,16.0,0.4444444444444444
fuel,20.0,16.0,0.4444444444444444
shelter,24.0,12.0,0.3333333333333333
post_box,25.0,11.0,0.3055555555555556
bench,26.0,10.0,0.2777777777777778
parking,27.0,9.0,0.25
theatre,27.0,9.0,0.25
vending_machine,28.0,8.0,0.2222222222222222
parking_entrance,28.0,8.0,0.2222222222222222
bank,29.0,7.0,0.19444444444444445
recycling,29.0,7.0,0.19444444444444445
waste_basket,29.0,7.0,0.19444444444444445
dentist,29.0,7.0,0.19444444444444445
public_bookcase,30.0,6.0,0.16666666666666666
clinic,30.0,6.0,0.16666666666666666
atm,30.0,6.0,0.16666666666666666
place_of_worship,31.0,5.0,0.1388888888888889
drinking_water,31.0,5.0,0.1388888888888889
post_office,31.0,5.0,0.1388888888888889
doctors,31.0,5.0,0.1388888888888889
pharmacy,31.0,5.0,0.1388888888888889
school,31.0,5.0,0.1388888888888889
social_facility,31.0,5.0,0.1388888888888889
telephone,31.0,5.0,0.1388888888888889
fountain,31.0,5.0,0.1388888888888889
childcare,31.0,5.0,0.1388888888888889
veterinary,31.0,5.0,0.1388888888888889
library,31.0,5.0,0.1388888888888889
charging_station,32.0,4.0,0.1111111111111111
ice_cream,33.0,3.0,0.08333333333333333
community_centre,33.0,3.0,0.08333333333333333
